    + --- ---------------- --------- +
    |      Slightly better recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 5.920e-07 |
  2 |   2                3 2.650e-07 |
  3 |   3                4 2.600e-07 |
  4 |   3                5 3.640e-07 |
  5 |   4                8 3.740e-07 |
  6 |   4                9 3.790e-07 |
  7 |   5               16 4.730e-07 |
  8 |   5               17 4.590e-07 |
  9 |   5               19 5.050e-07 |
 10 |   6               38 7.590e-07 |
 11 |   6               42 1.631e-06 |
 12 |   6               46 1.065e-06 |
 13 |   7               98 1.639e-06 |
 14 |   7              107 1.749e-06 |
 15 |   7              113 1.754e-06 |
 16 |   7              120 1.837e-06 |
 17 |   8              275 3.581e-06 |
 18 |   8              291 3.758e-06 |
 19 |   8              308 4.004e-06 |
 20 |   8              323 4.274e-06 |
 21 |   9              765 1.091e-05 |
 22 |   9              807 1.027e-05 |
 23 |   9              846 1.048e-05 |
 24 |   9              881 1.108e-05 |
 25 |   9              913 1.618e-05 |
 26 |  10             2238 2.615e-05 |
 27 |  10             2332 2.729e-05 |
 28 |  10             2418 2.833e-05 |
 29 |  10             2497 2.917e-05 |
 30 |  10             2574 2.958e-05 |
 31 |  11             6451 7.287e-05 |
 32 |  11             6482 7.561e-05 |
 33 |  11             6504 7.778e-05 |
 34 |  12            15728 1.871e-04 |
 35 |  12            15781 1.640e-04 |
 36 |  12            15816 1.554e-04 |
 37 |  13            37964 4.044e-04 |
 38 |  13            38053 4.437e-04 |
 39 |  13            38104 4.495e-04 |
 40 |  14            91232 9.471e-04 |
 41 |  14            91373 1.039e-03 |
 42 |  14            91444 1.044e-03 |
 43 |  15           219127 2.459e-03 |
 44 |  15           219340 2.479e-03 |
 45 |  15           219436 2.437e-03 |
 46 |  16           527041 5.198e-03 |
 47 |  16           527351 5.715e-03 |
 48 |  16           528661 5.993e-03 |
 49 |  16           529455 5.666e-03 |
 50 |  17          1280874 1.325e-02 |
 55 |  19          7492103 7.947e-02 |
 60 |  21         42353906 3.858e-01 |
 65 |  23        223357998 1.934e+00 |
 70 |  25       1086070749 9.238e+00 |
 75 |  26       2330972599 1.930e+01 |
 80 |  27       4934602616 4.037e+01 |
 85 |  28      10351839542 8.587e+01 |
 90 |  29      21646248278 1.800e+02 |
--- + --- ---------------- --------- +
