    + --- ---------------- --------- +
    |                 Fast recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.157e-06 |
  2 |   2                3 4.870e-07 |
  3 |   3                4 4.660e-07 |
  4 |   3                4 5.000e-07 |
  5 |   4                5 4.970e-07 |
  6 |   4                5 4.880e-07 |
  7 |   5                6 4.840e-07 |
  8 |   5                6 5.180e-07 |
  9 |   5                6 5.320e-07 |
 10 |   6                7 5.110e-07 |
 11 |   6                7 2.243e-06 |
 12 |   6                7 8.970e-07 |
 13 |   7                8 8.610e-07 |
 14 |   7                8 8.940e-07 |
 15 |   7                8 8.880e-07 |
 16 |   7                8 9.610e-07 |
 17 |   8                9 9.090e-07 |
 18 |   8                9 9.030e-07 |
 19 |   8                9 8.960e-07 |
 20 |   8                9 9.820e-07 |
 21 |   9               10 1.344e-06 |
 22 |   9               10 7.890e-07 |
 23 |   9               10 8.570e-07 |
 24 |   9               10 6.770e-07 |
 25 |   9               10 9.330e-07 |
 26 |  10               11 7.640e-07 |
 27 |  10               11 7.970e-07 |
 28 |  10               11 8.600e-07 |
 29 |  11               12 9.990e-07 |
 30 |  11               13 1.085e-06 |
 31 |  11               13 8.100e-07 |
 32 |  12               14 1.103e-06 |
 33 |  12               14 9.080e-07 |
 34 |  12               14 1.125e-06 |
 35 |  13               15 1.016e-06 |
 36 |  13               15 9.540e-07 |
 37 |  13               15 7.610e-07 |
 38 |  14               16 9.210e-07 |
 39 |  14               16 1.051e-06 |
 40 |  14               16 8.500e-07 |
 41 |  15               17 1.269e-06 |
 42 |  15               17 1.106e-06 |
 43 |  15               17 9.330e-07 |
 44 |  16               18 9.710e-07 |
 45 |  16               18 7.890e-07 |
 46 |  16               18 1.154e-06 |
 47 |  16               18 8.630e-07 |
 48 |  17               19 1.132e-06 |
 49 |  17               19 1.078e-06 |
 50 |  17               19 1.119e-06 |
 55 |  19               21 2.065e-06 |
 60 |  22               24 1.129e-06 |
 65 |  23               25 9.070e-07 |
 70 |  25               27 8.710e-07 |
 75 |  26               28 9.280e-07 |
 80 |  27               29 9.370e-07 |
 85 |  28               30 9.540e-07 |
 90 |  29               31 9.630e-07 |
 95 |  31               33 1.126e-06 |
100 |  33               36 1.407e-06 |
110 |  38               41 2.328e-06 |
120 |  41               44 1.473e-06 |
130 |  43               46 1.328e-06 |
140 |  45               48 1.327e-06 |
150 |  47               50 1.487e-06 |
160 |  50               54 1.611e-06 |
170 |  55               59 1.886e-06 |
180 |  58               62 1.712e-06 |
190 |  61               65 1.742e-06 |
200 |  62               66 1.671e-06 |
220 |  69               73 3.953e-06 |
240 |  76               80 2.707e-06 |
260 |  80               84 2.306e-06 |
280 |  87               93 2.874e-06 |
300 |  95              101 3.151e-06 |
320 |  99              105 2.916e-06 |
340 | 108              115 5.773e-06 |
360 | 112              119 3.074e-06 |
380 | 117              124 3.228e-06 |
400 | 126              141 3.829e-06 |
420 | 131              146 3.169e-06 |
440 | 135              150 2.546e-06 |
460 | 143              158 2.512e-06 |
480 | 149              164 2.437e-06 |
500 | 155              171 3.959e-06 |
520 | 163              179 2.602e-06 |
540 | 168              184 2.685e-06 |
560 | 174              190 2.986e-06 |
580 | 181              197 2.992e-06 |
600 | 185              201 3.004e-06 |
620 | 191              207 3.168e-06 |
640 | 198              214 3.335e-06 |
660 | 202              218 3.175e-06 |
680 | 209              225 4.114e-06 |
700 | 216              232 3.450e-06 |
720 | 221              240 3.716e-06 |
740 | 230              254 3.667e-06 |
760 | 235              259 3.887e-06 |
780 | 239              263 3.865e-06 |
800 | 248              275 4.366e-06 |
--- + --- ---------------- --------- +
