    + --- ---------------- --------- +
    |     Fast Dynamic non-recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.414e-06 |
  2 |   2                3 7.940e-07 |
  3 |   3                4 8.420e-07 |
  4 |   3                4 7.400e-07 |
  5 |   4                5 7.200e-07 |
  6 |   4                5 7.110e-07 |
  7 |   5                6 7.340e-07 |
  8 |   5                6 8.140e-07 |
  9 |   5                6 8.490e-07 |
 10 |   6                7 7.830e-07 |
 11 |   6                7 1.966e-06 |
 12 |   6                7 1.019e-06 |
 13 |   7                8 8.230e-07 |
 14 |   7                8 8.960e-07 |
 15 |   7                8 7.910e-07 |
 16 |   7                8 8.330e-07 |
 17 |   8                9 9.010e-07 |
 18 |   8                9 1.006e-06 |
 19 |   8                9 8.050e-07 |
 20 |   8                9 8.150e-07 |
 21 |   9               10 1.360e-06 |
 22 |   9               10 8.030e-07 |
 23 |   9               10 7.360e-07 |
 24 |   9               10 9.920e-07 |
 25 |   9               10 7.740e-07 |
 26 |  10               11 7.660e-07 |
 27 |  10               11 8.070e-07 |
 28 |  10               11 8.070e-07 |
 29 |  11               12 8.250e-07 |
 30 |  11               13 1.136e-06 |
 31 |  11               13 8.880e-07 |
 32 |  12               14 8.750e-07 |
 33 |  12               14 9.650e-07 |
 34 |  12               14 9.470e-07 |
 35 |  13               15 9.710e-07 |
 36 |  13               15 1.193e-06 |
 37 |  13               15 9.660e-07 |
 38 |  14               16 9.640e-07 |
 39 |  14               16 1.075e-06 |
 40 |  14               16 8.460e-07 |
 41 |  15               17 1.328e-06 |
 42 |  15               17 1.029e-06 |
 43 |  15               17 8.750e-07 |
 44 |  16               18 1.175e-06 |
 45 |  16               18 1.018e-06 |
 46 |  16               18 1.195e-06 |
 47 |  16               18 1.014e-06 |
 48 |  17               19 1.145e-06 |
 49 |  17               19 1.083e-06 |
 50 |  17               19 9.930e-07 |
 55 |  19               21 2.882e-06 |
 60 |  22               24 1.996e-06 |
 65 |  23               25 1.613e-06 |
 70 |  25               27 1.547e-06 |
 75 |  26               28 1.641e-06 |
 80 |  27               29 1.627e-06 |
 85 |  28               30 1.667e-06 |
 90 |  29               31 1.661e-06 |
 95 |  31               33 1.875e-06 |
100 |  33               36 2.261e-06 |
110 |  38               41 2.571e-06 |
120 |  41               44 1.937e-06 |
130 |  43               46 2.017e-06 |
140 |  45               48 1.931e-06 |
150 |  47               50 2.279e-06 |
160 |  50               54 2.429e-06 |
170 |  55               59 2.781e-06 |
180 |  58               62 2.842e-06 |
190 |  61               65 3.167e-06 |
200 |  62               66 3.241e-06 |
220 |  69               73 4.459e-06 |
240 |  76               80 3.971e-06 |
260 |  80               84 3.639e-06 |
280 |  87               93 4.168e-06 |
300 |  95              101 4.776e-06 |
320 |  99              105 5.333e-06 |
340 | 108              115 6.005e-06 |
360 | 112              119 5.379e-06 |
380 | 117              124 5.936e-06 |
400 | 126              141 6.633e-06 |
420 | 131              146 1.054e-05 |
440 | 135              150 9.570e-06 |
460 | 143              158 9.860e-06 |
480 | 149              164 1.056e-05 |
500 | 155              171 1.113e-05 |
520 | 163              179 1.173e-05 |
540 | 168              184 1.196e-05 |
560 | 174              190 1.275e-05 |
580 | 181              197 1.340e-05 |
600 | 185              201 1.389e-05 |
620 | 191              207 1.444e-05 |
640 | 198              214 1.564e-05 |
660 | 202              218 1.610e-05 |
680 | 209              225 1.659e-05 |
700 | 216              232 1.762e-05 |
720 | 221              240 1.861e-05 |
740 | 230              254 1.994e-05 |
760 | 235              259 2.062e-05 |
780 | 239              263 2.121e-05 |
800 | 248              275 2.278e-05 |
--- + --- ---------------- --------- +
