    + --- ---------------- --------- +
    |Unitary-Cost Dijkstra Recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.204e-05 |
  2 |   2                3 4.860e-07 |
  3 |   3                4 4.570e-07 |
  4 |   3                5 4.820e-07 |
  5 |   4                6 5.280e-07 |
  6 |   4                7 4.660e-07 |
  7 |   5                8 4.860e-07 |
  8 |   5                9 4.650e-07 |
  9 |   5               10 5.300e-07 |
 10 |   6               11 6.170e-07 |
 11 |   6               12 8.710e-07 |
 12 |   6               13 6.740e-07 |
 13 |   7               14 7.590e-07 |
 14 |   7               15 6.100e-07 |
 15 |   7               16 8.190e-07 |
 16 |   7               17 9.190e-07 |
 17 |   8               18 1.192e-06 |
 18 |   8               19 8.810e-07 |
 19 |   8               20 9.110e-07 |
 20 |   8               21 9.410e-07 |
 21 |   9               22 1.427e-06 |
 22 |   9               23 8.180e-07 |
 23 |   9               24 1.127e-06 |
 24 |   9               25 1.251e-06 |
 25 |   9               26 1.590e-06 |
 26 |  10               27 1.129e-06 |
 27 |  10               28 1.023e-06 |
 28 |  10               29 1.328e-06 |
 29 |  10               30 1.337e-06 |
 30 |  10               31 1.579e-06 |
 31 |  11               32 1.575e-06 |
 32 |  11               33 1.868e-06 |
 33 |  11               34 1.010e-06 |
 34 |  12               35 1.229e-06 |
 35 |  12               36 1.194e-06 |
 36 |  12               37 1.340e-06 |
 37 |  13               38 1.392e-06 |
 38 |  13               39 1.222e-06 |
 39 |  13               40 1.321e-06 |
 40 |  14               41 1.395e-06 |
 41 |  14               42 1.405e-06 |
 42 |  14               43 1.362e-06 |
 43 |  15               44 1.416e-06 |
 44 |  15               45 1.333e-06 |
 45 |  15               46 1.378e-06 |
 46 |  16               47 1.448e-06 |
 47 |  16               48 1.461e-06 |
 48 |  16               49 1.390e-06 |
 49 |  16               50 4.958e-06 |
 50 |  17               51 2.390e-06 |
 55 |  19               56 2.732e-06 |
 60 |  21               61 2.067e-06 |
 65 |  23               66 2.177e-06 |
 70 |  25               71 2.344e-06 |
 75 |  26               76 2.140e-06 |
 80 |  27               81 4.029e-06 |
 85 |  28               86 2.410e-06 |
 90 |  29               91 2.631e-06 |
 95 |  31               96 2.904e-06 |
100 |  33              320 1.161e-05 |
110 |  38              330 1.517e-05 |
120 |  41              340 1.652e-05 |
130 |  43              350 1.659e-05 |
140 |  45              360 2.096e-05 |
150 |  47              370 2.334e-05 |
160 |  50            12439 3.120e-04 |
170 |  55            12449 4.446e-04 |
180 |  58            12459 7.172e-04 |
190 |  60            12469 8.319e-04 |
200 |  62            12479 8.623e-04 |
220 |  68            12499 1.024e-03 |
240 |  76            12519 1.088e-03 |
260 |  80            12539 8.175e-04 |
280 |  87            21706 1.152e-03 |
300 |  95            21726 1.363e-03 |
320 | 100            21874 1.482e-03 |
340 | 109            83137 3.648e-03 |
360 | 113            83157 4.605e-03 |
380 | 118            83364 5.215e-03 |
400 | 126            83407 5.106e-03 |
420 | 132            83427 4.653e-03 |
440 | 136            83447 6.686e-03 |
460 | 145            83467 8.311e-03 |
480 | 150            83487 7.226e-03 |
500 | 156            83507 7.223e-03 |
520 | 164            83527 1.036e-02 |
540 | 169            83547 9.125e-03 |
560 | 176           103181 1.157e-02 |
580 | 183           103201 1.142e-02 |
600 | 187           103221 1.191e-02 |
620 | 193           103426 1.402e-02 |
640 | 201           103446 1.335e-02 |
660 | 206           113012 1.571e-02 |
680 | 212           113032 1.542e-02 |
700 | 221           113052 1.734e-02 |
720 | 226           113072 1.953e-02 |
740 | 235           127852 2.090e-02 |
760 | 240           127872 2.045e-02 |
780 | 243           127892 2.159e-02 |
800 | 253           127925 2.171e-02 |
--- + --- ---------------- --------- +
