    + --- ---------------- --------- +
    |       Speed-Based A* Recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.192e-06 |
  2 |   2                3 5.990e-07 |
  3 |   3                4 4.950e-07 |
  4 |   3                4 5.380e-07 |
  5 |   4                5 4.130e-07 |
  6 |   4                5 4.650e-07 |
  7 |   5                6 4.500e-07 |
  8 |   5                6 4.900e-07 |
  9 |   5                6 8.970e-07 |
 10 |   6                7 7.020e-07 |
 11 |   6                7 8.070e-07 |
 12 |   6                7 7.480e-07 |
 13 |   7                8 6.370e-07 |
 14 |   7                8 7.320e-07 |
 15 |   7                8 8.210e-07 |
 16 |   7                8 9.490e-07 |
 17 |   8                9 1.036e-06 |
 18 |   8                9 1.092e-06 |
 19 |   8                9 2.051e-06 |
 20 |   8                9 6.920e-07 |
 21 |   9               10 6.030e-07 |
 22 |   9               10 6.410e-07 |
 23 |   9               10 6.260e-07 |
 24 |   9               10 6.900e-07 |
 25 |   9               10 7.460e-07 |
 26 |  10               11 6.640e-07 |
 27 |  10               11 6.980e-07 |
 28 |  10               11 7.030e-07 |
 29 |  10               11 7.250e-07 |
 30 |  10               11 8.010e-07 |
 31 |  11               12 7.120e-07 |
 32 |  11               12 7.080e-07 |
 33 |  11               12 1.149e-06 |
 34 |  12               13 2.430e-06 |
 35 |  12               13 9.820e-07 |
 36 |  12               13 1.076e-06 |
 37 |  13               14 1.194e-06 |
 38 |  13               14 1.130e-06 |
 39 |  13               14 1.650e-06 |
 40 |  14               15 1.512e-06 |
 41 |  14               15 1.613e-06 |
 42 |  14               15 1.261e-06 |
 43 |  15               16 9.320e-07 |
 44 |  15               16 9.120e-07 |
 45 |  15               16 2.280e-06 |
 46 |  16               17 8.850e-07 |
 47 |  16               17 9.290e-07 |
 48 |  16               17 9.070e-07 |
 49 |  16               17 9.770e-07 |
 50 |  17               18 1.559e-06 |
 55 |  19               20 1.818e-06 |
 60 |  21               22 1.735e-06 |
 65 |  23               24 3.547e-06 |
 70 |  25               26 1.932e-06 |
 75 |  26               27 2.193e-06 |
 80 |  27               28 1.853e-06 |
 85 |  28               29 2.044e-06 |
 90 |  29               30 3.993e-06 |
 95 |  31               32 3.855e-06 |
100 |  33               35 3.198e-06 |
110 |  38               40 3.553e-06 |
120 |  41               43 5.039e-06 |
130 |  43               45 3.553e-06 |
140 |  45               47 3.536e-06 |
150 |  47               49 6.381e-06 |
160 |  50               54 4.518e-06 |
170 |  55               59 7.807e-06 |
180 |  58               62 6.140e-06 |
190 |  60               64 7.009e-06 |
200 |  62               66 8.733e-06 |
220 |  68               72 7.399e-06 |
240 |  76               80 1.405e-05 |
260 |  80               84 1.109e-05 |
280 |  87               94 1.077e-05 |
300 |  95              102 1.394e-05 |
320 | 100              108 1.171e-05 |
340 | 109              121 1.429e-05 |
360 | 113              125 1.689e-05 |
380 | 118              131 1.804e-05 |
400 | 126              140 1.661e-05 |
420 | 132              146 1.776e-05 |
440 | 136              150 1.725e-05 |
460 | 145              159 1.997e-05 |
480 | 150              164 1.893e-05 |
500 | 156              170 2.123e-05 |
520 | 164              178 2.772e-05 |
540 | 169              183 2.425e-05 |
560 | 176              193 2.342e-05 |
580 | 183              200 2.309e-05 |
600 | 187              204 2.158e-05 |
620 | 193              212 1.793e-05 |
640 | 201              220 2.593e-05 |
660 | 206              228 2.703e-05 |
680 | 212              234 2.435e-05 |
700 | 221              243 3.352e-05 |
720 | 226              248 2.057e-05 |
740 | 235              261 2.023e-05 |
760 | 240              266 2.227e-05 |
780 | 243              269 2.180e-05 |
800 | 253              280 2.384e-05 |
--- + --- ---------------- --------- +
