    + --- ---------------- --------- + 
    |             Very bad recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.871e-06 |
  2 |   2                3 9.460e-07 |
  3 |   3                5 1.316e-06 |
  4 |   3                8 1.362e-06 |
  5 |   4               13 1.491e-06 |
  6 |   4               22 1.728e-06 |
  7 |   5               36 2.043e-06 |
  8 |   5               60 2.659e-06 |
  9 |   5              100 3.807e-06 |
 10 |   6              167 5.235e-06 |
 11 |   6              279 4.173e-06 |
 12 |   6              465 4.637e-06 |
 13 |   7              777 7.088e-06 |
 14 |   7             1297 1.108e-05 |
 15 |   7             2165 1.852e-05 |
 16 |   7             3614 3.080e-05 |
 17 |   8             6031 4.888e-05 |
 18 |   8            10065 8.039e-05 |
 19 |   8            16795 1.339e-04 |
 20 |   8            28024 2.276e-04 |
 21 |   9            46758 3.779e-04 |
 22 |   9            78011 6.532e-04 |
 23 |   9           130089 1.042e-03 |
 24 |   9           216968 1.726e-03 |
 25 |   9           359706 2.933e-03 |
 26 |  10           597823 4.901e-03 |
 27 |  10           995046 7.928e-03 |
 28 |  10          1655498 1.265e-02 |
 29 |  10          2757259 2.119e-02 |
 30 |  10          4593012 3.575e-02 |
 31 |  11          7651017 5.598e-02 |
 32 |  11         12747967 7.909e-02 |
 33 |  11         21239691 1.245e-01 |
 34 |  12         35390165 1.962e-01 |
 35 |  12         58969547 3.232e-01 |
 36 |  12         98258424 5.294e-01 |
 37 |  13        163727428 8.602e-01 |
 38 |  13        272817267 1.421e+00 |
 39 |  13        454593881 2.361e+00 |
 40 |  14        757489987 3.900e+00 |
 41 |  14       1262204160 6.566e+00 |
 42 |  14       2114047092 1.089e+01 |
 43 |  15       3533472456 1.813e+01 |
 44 |  15       5898663878 3.167e+01 |
 45 |  15       9850621736 5.256e+01 |
 46 |  16      16352251531 8.453e+01 |
 47 |  16      27196767437 1.397e+02 |
 48 |  16      45288671397 2.334e+02 |
 49 |  16      75373390362 3.872e+02 |
 50 |  17     125557790155 6.521e+02 |
 51 |  17     209172462741 1.116e+03 |
 52 |  17     334621156464 1.756e+03 |
 53 |  18     543684522773 2.847e+03 |
 54 |  18     878196582805 4.554e+03 |
--- + --- ---------------- --------- +
