    + --- ---------------- --------- +
    |      Slightly better recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 3.050e-06 |
  2 |   2                3 6.870e-07 |
  3 |   3                4 6.090e-07 |
  4 |   3                5 7.250e-07 |
  5 |   4                8 8.190e-07 |
  6 |   4                9 8.120e-07 |
  7 |   5               16 2.071e-06 |
  8 |   5               17 1.286e-06 |
  9 |   5               19 1.279e-06 |
 10 |   6               38 2.188e-06 |
 11 |   6               42 1.725e-06 |
 12 |   6               46 1.638e-06 |
 13 |   7               98 2.909e-06 |
 14 |   7              107 3.890e-06 |
 15 |   7              113 3.984e-06 |
 16 |   7              120 4.409e-06 |
 17 |   8              275 8.542e-06 |
 18 |   8              291 9.454e-06 |
 19 |   8              308 9.387e-06 |
 20 |   8              323 1.027e-05 |
 21 |   9              765 2.243e-05 |
 22 |   9              807 2.785e-05 |
 23 |   9              846 2.525e-05 |
 24 |   9              881 2.855e-05 |
 25 |   9              913 4.581e-05 |
 26 |  10             2238 6.665e-05 |
 27 |  10             2332 7.112e-05 |
 28 |  10             2418 7.418e-05 |
 29 |  10             2497 8.954e-05 |
 30 |  10             2574 8.270e-05 |
 31 |  11             6277 1.877e-04 |
 32 |  11             6338 1.884e-04 |
 33 |  11             6360 1.983e-04 |
 34 |  12            15240 4.151e-04 |
 35 |  12            15293 3.706e-04 |
 36 |  12            15320 3.830e-04 |
 37 |  13            36607 8.354e-04 |
 38 |  13            36688 8.157e-04 |
 39 |  13            36723 9.135e-04 |
 40 |  14            87813 2.458e-03 |
 41 |  14            87930 2.305e-03 |
 42 |  14            87977 2.272e-03 |
 43 |  15           210916 5.475e-03 |
 44 |  15           211081 5.245e-03 |
 45 |  15           211145 4.348e-03 |
 46 |  16           507613 1.020e-02 |
 47 |  16           507843 8.943e-03 |
 48 |  16           508950 5.517e-03 |
 49 |  16           509565 5.539e-03 |
 50 |  17          1235992 1.494e-02 |
 51 |  17          1237871 1.218e-02 |
 52 |  17          1237956 1.453e-02 |
 53 |  18          3019025 3.313e-02 |
 54 |  18          3019508 3.418e-02 |
 55 |  19          7383931 7.491e-02 |
 56 |  19          7383945 7.249e-02 |
 57 |  20         18035858 1.676e-01 |
 58 |  20         18035872 1.688e-01 |
 59 |  21         43783691 4.000e-01 |
 60 |  21         43783705 4.032e-01 |
 61 |  22        105071191 9.611e-01 |
 62 |  22        105073392 9.619e-01 |
 63 |  22        105074108 9.656e-01 |
 64 |  23        248112224 2.303e+00 |
 65 |  23        248115214 2.292e+00 |
 66 |  23        248116017 2.338e+00 |
 67 |  24        574646087 5.354e+00 |
 68 |  24        574649894 5.258e+00 |
 69 |  24        574650843 5.202e+00 |
 70 |  25       1303842327 1.221e+01 |
 71 |  25       1303847097 1.209e+01 |
 72 |  25       1303896779 1.195e+01 |
 73 |  25       1303914201 1.198e+01 |
 74 |  26       2902056663 2.654e+01 |
 75 |  26       2902127633 2.621e+01 |
 76 |  26       2902200540 2.640e+01 |
 77 |  26       2902227808 2.625e+01 |
 78 |  27       6360982373 5.797e+01 |
 79 |  27       6361136023 5.507e+01 |
 80 |  27       6361241013 5.310e+01 |
 81 |  27       6361747083 5.213e+01 |
 82 |  27       6361968241 5.146e+01 |
 83 |  28      13828697307 1.122e+02 |
 84 |  28      13829537730 1.121e+02 |
 85 |  28      13830417870 1.116e+02 |
 86 |  28      13831304039 1.116e+02 |
 87 |  28      13831720230 1.115e+02 |
 88 |  29      30115937808 2.433e+02 |
 89 |  29      30118097932 2.429e+02 |
 90 |  30      66463593136 5.372e+02 |
 91 |  30      66476602426 5.367e+02 |
 92 |  31     150511380277 1.222e+03 |
 93 |  31     150592634969 1.223e+03 |
 94 |  32     352618159894 3.070e+03 |
 95 |  32     352914223671 3.151e+03 |
 96 |  33     855527098180 7.215e+03 |
--- + --- ---------------- --------- +
